OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Median Age for Chart
37,37,34,67,LAFAYETTE,Lafayette,FL,341,5,0,42,41,38,34,36,45,55,44,1,0 to 119,59,220,114,7,340,1,0,11,327,0,15,1,10,331,0,0,340,7,2,1,0,4,5,0,9,0,0,2,3,0,2,1,0,0,2,0,19 to 98,40,9,0,0,0,2,7,0,2,0,1,0,0,0,10,6,4,9,1,0,381,0,391,381,10,0,4,4,1417838543.00769,193229.836834708,47
38,38,23,45,GULF,Gulf,FL,595,10,8,36,56,62,97,123,119,65,19,0,0 to 94,56,353,239,3,541,54,0,14,578,1,46,7,3,592,0,0,541,3,0,0,0,2,1,0,3,0,0,0,0,2,1,0,0,0,0,0,40 to 48,42,2,0,1,0,1,2,0,1,0,0,0,0,0,3,1,2,3,0,0,842,54,899,896,3,0,11,8,1469866107.27026,258929.917930346,42
39,39,63,125,UNION,Union,FL,1158,11,16,54,75,107,138,398,275,70,14,0,0 to 118,59,312,839,7,1158,0,0,14,1126,4,69,4,34,1124,0,0,1158,32,2,0,0,5,29,0,34,0,0,0,5,1,2,16,8,2,0,0,25 to 80,60,20,11,2,1,1,32,1,6,0,6,0,0,1,34,29,5,34,0,0,1861,0,1895,1861,34,1,26,24,646977045.561768,128178.538552252,55
40,40,4,7,BRADFORD,Bradford,FL,1465,18,25,116,185,168,221,288,189,146,103,6,0 to 118,54,919,521,25,1463,2,0,27,1396,34,143,1,52,1412,0,1,1462,13,39,0,0,41,11,0,52,0,2,3,3,7,5,3,6,12,11,0,8 to 107,70,46,5,1,0,0,52,0,4,0,11,0,0,2,52,11,41,52,0,0,1716,2,1771,1718,52,2,112,80,776744615.959412,167178.838252791,74
41,41,65,129,WAKULLA,Wakulla,FL,1245,13,27,86,137,168,211,246,210,107,39,1,0 to 102,54,704,530,11,1241,4,0,12,1188,13,186,4,35,1209,0,1,1240,17,16,2,0,23,10,0,33,0,0,5,5,5,10,5,3,1,1,0,18 to 86,46,17,13,3,0,0,33,0,6,0,5,0,0,1,35,10,25,33,2,0,1564,2,1601,1566,35,1,90,26,1579533632.64177,279225.038340218,43
42,42,5,9,BREVARD,Brevard,FL,19220,250,332,1024,1792,2048,2669,4378,3925,2099,554,149,0 to 119,58,10948,8171,101,19203,17,0,147,18861,107,397,76,439,18778,2,1,19200,381,47,9,2,231,197,0,428,3,11,43,49,58,66,93,54,37,25,0,0 to 99,53,320,59,21,28,82,318,28,107,2,66,2,0,13,439,200,239,428,11,0,24251,6,24698,24257,439,13,234,176,2687643838.87906,793218.333609179,53
43,43,53,105,POLK,Polk,FL,18216,425,449,1257,2235,2301,2625,3001,2926,1875,782,340,0 to 119,53,10596,7430,190,18125,91,0,321,16897,231,1125,129,1127,17074,6,9,18110,960,155,11,1,687,428,0,1115,8,19,86,152,162,165,165,135,132,103,0,0 to 103,53,707,230,139,39,291,750,74,431,8,333,3,0,64,1127,432,695,1115,12,0,22557,79,23771,22636,1127,64,749,260,5206715917.89822,388118.956177661,56
44,44,49,97,OSCEOLA,Osceola,FL,13206,166,342,875,1758,1898,2189,2298,1767,879,320,714,0 to 155,50,7413,5723,70,13130,76,0,393,12083,390,766,197,732,12418,13,43,13075,649,35,46,2,345,339,0,684,9,17,52,119,113,136,124,87,57,17,1,0 to 102,48,346,61,269,8,423,228,33,246,7,157,7,2,20,732,375,357,684,48,0,14818,27,15591,14845,732,20,563,74,3899316052.50861,350452.549474464,50
45,45,28,55,HIGHLANDS,Highlands,FL,3675,51,55,165,370,322,422,592,703,621,354,20,0 to 119,62,2231,1407,37,3610,65,0,43,3529,47,123,19,141,3529,2,3,3605,117,22,2,0,71,68,0,139,1,8,11,18,18,17,35,15,17,1,0,0 to 85,54,77,32,23,7,45,81,13,48,1,38,1,0,9,141,70,71,139,2,0,4594,63,4801,4657,141,9,157,67,2866885704.30579,296636.719911829,56
46,46,36,71,LEE,Lee,FL,25482,279,345,1592,2807,3053,3587,4433,4724,3166,1429,67,0 to 119,57,14748,10500,234,24545,936,1,458,23174,613,1980,166,2200,23257,3,22,24521,1997,140,58,5,1155,973,9,2137,22,38,158,278,318,355,336,275,213,202,5,0 to 101,52,1311,362,52,412,555,1149,433,644,15,443,13,4,114,2200,1010,1181,2136,63,1,29652,873,32731,30525,2200,114,1998,528,2112333669.17714,583283.842331616,54
